brand,product_name,clothing_type,fabric_composition,fiber_json,most_dominant_fiber,fs_bio_share,fs_biodeg_tier,source,country_of_brand,scraped_url,first_scraped_at,last_seen_at,origin,is_active
OXGN,Raglan Graphic T-Shirt,shirt,"roidery, Taping Fabric: Single Jersey Material Composition: 65% Polyester 35% Cotton Model's Body Measurements Height: 5'8"" Chest: 29","{""polyester"": 65.0, ""cotton"": 35.0}",polyester,35.0,low,philippine,PH,https://www.oxgnfashion.com/collections/oxgn-fashion-new-casualwear-clothes-for-women-shop-online/products/raglan-graphic-t-shirt-994641-off-white,2026-04-08T06:24:45.842757,2026-04-08T06:24:45.842757,live,True
OXGN,Washed Denim Skater Shorts,jeans,Hardware Fabric: Twill Weave (Denim) Material Composition: 70% Cotton 18% Polyester 12% Rayon Waist Height: High Waist Model's Bo,"{""cotton"": 70.0, ""polyester"": 18.0, ""rayon"": 12.0}",cotton,82.0,medium,philippine,PH,https://www.oxgnfashion.com/collections/oxgn-fashion-new-casualwear-clothes-for-women-shop-online/products/washed-denim-skater-shorts-993084-acid-blue,2026-04-08T06:24:46.917217,2026-04-08T06:24:46.917217,live,True
OXGN,Knit Shorts,shorts,ls: Contrast Trim Fabric: Ribbed Knit Material Composition: 95% Cotton 5% Spandex Waist Height: High Waist Stretch Detail: Stretch,"{""cotton"": 95.0, ""elastane"": 5.0}",cotton,95.0,high,philippine,PH,https://www.oxgnfashion.com/collections/oxgn-fashion-new-casualwear-clothes-for-women-shop-online/products/knit-shorts-994478-forest-green,2026-04-08T06:24:48.172665,2026-04-08T06:24:48.172665,live,True
OXGN,Panelled Slim T-Shirt,shirt,"tails: Logo Print Fabric: Ribbed Knit Material Composition: 90% Cotton 10% Spandex Model's Body Measurements Height: 5'7"" Chest: 3","{""cotton"": 90.0, ""elastane"": 10.0}",cotton,90.0,high,philippine,PH,https://www.oxgnfashion.com/collections/oxgn-fashion-new-casualwear-clothes-for-women-shop-online/products/panelled-slim-t-shirt-986334-black,2026-04-08T06:24:48.864699,2026-04-08T06:24:48.864699,live,True
OXGN,Jersey Graphic Boxy Polo,polo,"Print, Lace Overlay Fabric: Knit Mesh Material Composition: 100% Polyester Model's Body Measurements Height: 5'8"" Chest: 29"" Waist: 24","{""polyester"": 100.0}",polyester,0.0,low,philippine,PH,https://www.oxgnfashion.com/collections/oxgn-fashion-new-casualwear-clothes-for-women-shop-online/products/jersey-graphic-boxy-polo-994350-off-white,2026-04-08T06:24:49.436260,2026-04-08T06:24:49.436260,live,True
OXGN,Ringer Graphic T-Shirt,shirt,"ils: Embroidery Fabric: Single Jersey Material Composition: 65% Polyester 35% Cotton Model's Body Measurements Height: 5'7"" Chest: 32","{""polyester"": 65.0, ""cotton"": 35.0}",polyester,35.0,low,philippine,PH,https://www.oxgnfashion.com/collections/oxgn-fashion-new-casualwear-clothes-for-women-shop-online/products/ringer-graphic-t-shirt-994178-navy-blue,2026-04-08T06:24:51.029764,2026-04-08T06:24:51.029764,live,True
OXGN,Graphic Slim Cropped T-Shirt,shirt,"mbroidery, Taping Fabric: Ribbed Knit Material Composition: 90% Cotton 10% Spandex Model's Body Measurements Height: 5'9"" Chest: 3","{""cotton"": 90.0, ""elastane"": 10.0}",cotton,90.0,high,philippine,PH,https://www.oxgnfashion.com/collections/oxgn-fashion-new-casualwear-clothes-for-women-shop-online/products/graphic-slim-cropped-t-shirt-994345-forest-green,2026-04-08T06:24:52.135872,2026-04-08T06:24:52.135872,live,True
OXGN,Square Neck Sleeveless Dress,dress,etails: Side Taping Fabric: Interlock Material Composition: 55% Cotton 38% Polyester 7% Spandex Model's Body Measurements Height:,"{""cotton"": 55.0, ""polyester"": 38.0, ""elastane"": 7.0}",cotton,55.0,medium,philippine,PH,https://www.oxgnfashion.com/collections/oxgn-fashion-new-casualwear-clothes-for-women-shop-online/products/square-neck-sleeveless-dress-994381-scarlet,2026-04-08T06:24:53.379704,2026-04-08T06:24:53.379704,live,True
OXGN,Ringer Raglan Graphic Slim Cropped T-Shirt,shirt,"nt, Cut & Sew Panel Fabric: Interlock Material Composition: 55% Cotton 38% Polyester 7% Spandex Model's Body Measurements Height:","{""cotton"": 55.0, ""polyester"": 38.0, ""elastane"": 7.0}",cotton,55.0,medium,philippine,PH,https://www.oxgnfashion.com/collections/oxgn-fashion-new-casualwear-clothes-for-women-shop-online/products/ringer-raglan-graphic-slim-cropped-t-shirt-993097-off-white,2026-04-08T06:24:54.531921,2026-04-08T06:24:54.531921,live,True
OXGN,Knit Slim Track Jacket,jacket,"Trim, Side Taping Fabric: Ribbed Knit Material Composition: 95% Cotton 5% Spandex Model's Body Measurements Height: 5'7"" Chest: 32","{""cotton"": 95.0, ""elastane"": 5.0}",cotton,95.0,high,philippine,PH,https://www.oxgnfashion.com/collections/oxgn-fashion-new-casualwear-clothes-for-women-shop-online/products/knit-slim-track-jacket-994520-forest-green,2026-04-08T06:24:55.312964,2026-04-08T06:24:55.312964,live,True
