brand,product_name,clothing_type,fabric_composition,fiber_json,most_dominant_fiber,fs_bio_share,fs_biodeg_tier,source,country_of_brand,scraped_url,scraped_at,origin
OXGN,Ringer Raglan Graphic Slim Cropped T-Shirt,t-shirt,"tails: Flat Print Fabric: Ribbed Knit Material Composition: 90% Cotton 10% Spandex Model's Body Measurements Height: 5'7"" Chest: 3","{""cotton"": 90.0, ""elastane"": 10.0}",cotton,90.0,high,philippine,PH,https://www.oxgnfashion.com/collections/oxgn-fashion-new-casualwear-clothes-for-women-shop-online/products/ringer-raglan-graphic-slim-cropped-t-shirt-993709-forest-green,2026-04-24T01:24:45.138233,live
OXGN,Graphic T-Shirt,t-shirt,"t Fabric: Jersey Knit (Single Jersey) Material Composition: 65% Polyester 35% Cotton Model's Body Measurements Height: 5'8"" Chest: 29","{""polyester"": 65.0, ""cotton"": 35.0}",polyester,35.0,low,philippine,PH,https://www.oxgnfashion.com/collections/oxgn-fashion-new-casualwear-clothes-for-women-shop-online/products/graphic-t-shirt-993714-mulberry,2026-04-24T01:24:46.252429,live
OXGN,Square Neck Sleeveless Dress,dress,etails: Side Taping Fabric: Interlock Material Composition: 55% Cotton 38% Polyester 7% Spandex Model's Body Measurements Height:,"{""cotton"": 55.0, ""polyester"": 38.0, ""elastane"": 7.0}",cotton,55.0,medium,philippine,PH,https://www.oxgnfashion.com/collections/oxgn-fashion-new-casualwear-clothes-for-women-shop-online/products/square-neck-sleeveless-dress-994381-scarlet,2026-04-24T01:24:48.672698,live
OXGN,Ringer Striped T-Shirt,t-shirt,"s Fabric: Jersey Knit (Single Jersey) Material Composition: 65% Polyester 35% Cotton Model's Body Measurements Height: 5'8"" Chest: 29","{""polyester"": 65.0, ""cotton"": 35.0}",polyester,35.0,low,philippine,PH,https://www.oxgnfashion.com/collections/oxgn-fashion-new-casualwear-clothes-for-women-shop-online/products/ringer-striped-t-shirt-995237-mulberry,2026-04-24T01:24:49.175339,live
OXGN,Raglan Polo Dress,dress,"ails: Contrast Trim Fabric: Interlock Material Composition: 65% Polyester 35% Cotton Model's Body Measurements Height: 5'7"" Chest: 32","{""polyester"": 65.0, ""cotton"": 35.0}",polyester,35.0,low,philippine,PH,https://www.oxgnfashion.com/collections/oxgn-fashion-new-casualwear-clothes-for-women-shop-online/products/raglan-polo-dress-994431-forest-green,2026-04-24T01:24:49.669585,live
OXGN,Jersey Boxy Lace Top,top,"nt, Lace overlay Fabric: Knitted Mesh Material Composition: 100% Polyester Model's Body Measurements Height: 5'7"" Chest: 32"" Waist: 24","{""polyester"": 100.0}",polyester,0.0,low,philippine,PH,https://www.oxgnfashion.com/collections/oxgn-fashion-new-casualwear-clothes-for-women-shop-online/products/jersey-boxy-lace-top-994318-butter-yellow,2026-04-24T01:24:50.708539,live
OXGN,Printed Barrel Trousers,pants,cket Fabric: Twill Weave (Bull twill) Material Composition: 100% Cotton Waist Height: High Waist Model's Body Measurements Height:,"{""cotton"": 100.0}",cotton,100.0,high,philippine,PH,https://www.oxgnfashion.com/collections/oxgn-fashion-new-casualwear-clothes-for-women-shop-online/products/printed-barrel-trousers-994422-multi-color-combination,2026-04-24T01:24:51.366041,live
OXGN,Jersey Graphic Slim T-Shirt,t-shirt,"nt, Tri-Stripe Mesh Fabric: Interlock Material Composition: 100% Polyester Model's Body Measurements Height: 5'7"" Chest: 32"" Waist: 24","{""polyester"": 100.0}",polyester,0.0,low,philippine,PH,https://www.oxgnfashion.com/collections/oxgn-fashion-new-casualwear-clothes-for-women-shop-online/products/jersey-graphic-slim-t-shirt-995041-mulberry,2026-04-24T01:24:51.915975,live
OXGN,Jersey Graphic Boxy Top,top,"ails: Flat Print Fabric: Knitted Mesh Material Composition: 100% Polyester Model's Body Measurements Height: 5'7"" Chest: 32"" Waist: 24","{""polyester"": 100.0}",polyester,0.0,low,philippine,PH,https://www.oxgnfashion.com/collections/oxgn-fashion-new-casualwear-clothes-for-women-shop-online/products/jersey-graphic-boxy-top-994677-off-white,2026-04-24T01:24:52.546608,live
OXGN,Ringer Graphic Slim T-Shirt,t-shirt,"ails: Flat Print Fabric: Knitted Mesh Material Composition: 100% Polyester Model's Body Measurements Height: 5'7"" Chest: 32"" Waist: 24","{""polyester"": 100.0}",polyester,0.0,low,philippine,PH,https://www.oxgnfashion.com/collections/oxgn-fashion-new-casualwear-clothes-for-women-shop-online/products/ringer-graphic-slim-t-shirt-994643-multi-color-combination,2026-04-24T01:24:54.255443,live
